"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2018年12月31日","14.59","14.57","15.00","14.40","2.91M","1.53%"
"2018年12月28日","14.37","14.04","14.42","13.81","2.76M","2.06%"
"2018年12月27日","14.08","13.41","14.20","13.33","2.18M","1.66%"
"2018年12月26日","13.85","13.78","13.96","13.27","3.56M","1.02%"
"2018年12月24日","13.71","13.04","13.83","12.66","4.58M","3.08%"
"2018年12月21日","13.30","15.18","15.50","13.16","13.88M","-9.09%"
"2018年12月20日","14.63","15.18","15.23","14.05","7.51M","0.55%"
"2018年12月19日","14.55","14.80","15.17","14.50","3.24M","-1.15%"
"2018年12月18日","14.72","14.48","14.80","14.30","3.05M","3.08%"
"2018年12月17日","14.28","14.93","14.94","14.22","3.11M","-6.18%"
"2018年12月14日","15.22","14.80","15.43","14.30","4.10M","1.81%"
"2018年12月13日","14.95","15.44","15.57","14.91","2.63M","-2.22%"
"2018年12月12日","15.29","15.30","15.64","15.17","3.44M","1.59%"
"2018年12月11日","15.05","15.02","15.33","14.81","2.03M","2.31%"
"2018年12月10日","14.71","14.59","15.09","14.59","3.15M","0.14%"
"2018年12月7日","14.69","14.66","15.40","14.52","3.61M","0.07%"
"2018年12月6日","14.68","14.03","14.73","13.90","4.84M","2.44%"
"2018年12月4日","14.33","15.52","15.70","14.11","4.91M","-7.07%"
"2018年12月3日","15.42","16.29","16.74","15.32","5.35M","-1.22%"
"2018年11月30日","15.61","15.15","15.74","14.90","5.78M","4.55%"
"2018年11月29日","14.93","15.93","15.95","14.64","6.59M","-7.50%"
"2018年11月28日","16.14","15.20","16.17","15.03","5.34M","7.82%"
"2018年11月27日","14.97","14.70","15.19","14.50","3.10M","0.20%"
"2018年11月26日","14.94","15.15","15.36","14.64","2.89M","-0.27%"
"2018年11月23日","14.98","14.53","15.06","14.20","2.80M","-1.06%"
"2018年11月21日","15.14","13.79","16.13","13.75","19.46M","11.32%"
"2018年11月20日","13.60","13.05","13.90","12.85","5.87M","4.37%"
"2018年11月19日","13.03","14.40","14.42","13.02","5.02M","-10.14%"
"2018年11月16日","14.50","14.20","14.94","13.96","3.60M","0.21%"
"2018年11月15日","14.47","13.86","14.79","13.79","3.44M","6.71%"
"2018年11月14日","13.56","13.87","14.14","13.54","1.71M","-1.53%"
"2018年11月13日","13.77","13.33","13.93","13.10","2.40M","6.74%"
"2018年11月12日","12.90","13.51","13.71","12.78","3.24M","-3.73%"
"2018年11月9日","13.40","14.06","14.06","13.32","2.69M","-7.52%"
"2018年11月8日","14.49","15.06","15.08","14.35","2.15M","-4.36%"
"2018年11月7日","15.15","15.39","15.44","14.81","2.01M","1.61%"
"2018年11月6日","14.91","14.36","15.48","14.35","4.48M","3.83%"
"2018年11月5日","14.36","14.40","14.78","14.25","1.71M","-0.49%"
"2018年11月2日","14.43","14.96","15.18","14.16","5.44M","1.69%"
"2018年11月1日","14.19","13.85","15.16","13.03","12.34M","5.11%"
"2018年10月31日","13.50","13.63","14.50","13.28","8.97M","3.05%"
"2018年10月30日","13.10","12.58","13.40","12.31","2.48M","5.05%"
"2018年10月29日","12.47","13.45","13.55","12.26","2.04M","-5.32%"
"2018年10月26日","13.17","12.25","13.26","12.15","2.58M","4.77%"
"2018年10月25日","12.57","12.24","12.63","12.21","2.78M","4.84%"
"2018年10月24日","11.99","12.89","12.94","11.87","3.62M","-7.56%"
"2018年10月23日","12.97","12.67","13.17","12.57","1.84M","-0.61%"
"2018年10月22日","13.05","13.00","13.07","12.75","3.45M","4.48%"
"2018年10月19日","12.49","12.94","13.07","12.37","1.92M","-0.95%"
"2018年10月18日","12.61","12.91","13.10","12.49","3.15M","-4.83%"
"2018年10月17日","13.25","13.67","13.72","12.91","2.13M","-1.56%"
"2018年10月16日","13.46","14.00","14.29","13.26","4.06M","-3.51%"
"2018年10月15日","13.95","13.28","14.18","13.26","3.16M","1.75%"
"2018年10月12日","13.71","13.37","13.85","13.28","4.14M","8.04%"
"2018年10月11日","12.69","12.03","12.90","12.02","3.19M","2.17%"
"2018年10月10日","12.42","13.26","13.26","12.10","3.84M","-5.69%"
"2018年10月9日","13.17","13.31","13.54","13.00","2.46M","-3.37%"
"2018年10月8日","13.63","12.72","13.74","12.65","3.54M","2.10%"
"2018年10月5日","13.35","13.37","13.88","12.90","4.57M","-1.48%"
"2018年10月4日","13.55","14.14","14.44","12.88","6.89M","-5.71%"
"2018年10月3日","14.37","15.15","15.50","14.03","18.03M","7.96%"
"2018年10月2日","13.31","13.40","13.70","12.84","4.11M","-4.59%"
"2018年10月1日","13.95","13.70","14.09","13.57","3.23M","3.49%"
"2018年9月28日","13.48","12.90","13.69","12.89","4.17M","3.53%"
"2018年9月27日","13.02","12.87","13.10","12.73","2.28M","1.17%"
"2018年9月26日","12.87","12.49","13.42","12.45","4.92M","2.55%"
"2018年9月25日","12.55","12.00","12.66","11.70","3.39M","4.58%"
"2018年9月24日","12.00","11.70","12.23","11.28","5.84M","-3.46%"
"2018年9月21日","12.43","13.45","13.67","12.36","5.07M","-7.51%"
"2018年9月20日","13.44","13.49","13.69","12.97","2.21M","1.66%"
"2018年9月19日","13.22","13.69","14.00","13.20","2.76M","-3.92%"
"2018年9月18日","13.76","13.40","14.07","13.13","3.96M","4.01%"
"2018年9月17日","13.23","13.29","13.50","12.78","3.33M","-2.14%"
"2018年9月14日","13.52","13.29","13.66","12.91","3.90M","1.27%"
"2018年9月13日","13.35","13.46","14.12","13.16","6.43M","2.46%"
"2018年9月12日","13.03","12.00","13.68","11.89","9.42M","10.05%"
"2018年9月11日","11.84","11.11","11.99","11.11","3.51M","4.69%"
"2018年9月10日","11.31","11.73","11.94","11.31","2.53M","-3.42%"
"2018年9月7日","11.71","11.26","11.88","11.00","2.97M","2.72%"
"2018年9月6日","11.40","11.59","11.66","11.11","2.42M","0.09%"
"2018年9月5日","11.39","12.25","12.31","11.35","5.32M","-8.88%"
"2018年9月4日","12.50","12.75","12.86","12.04","3.76M","-2.57%"
"2018年8月31日","12.83","12.70","13.40","12.70","3.80M","-2.36%"
"2018年8月30日","13.14","13.40","13.70","12.25","8.77M","-4.51%"
"2018年8月29日","13.76","13.00","14.23","12.18","9.43M","5.20%"
"2018年8月28日","13.08","12.85","13.75","12.64","19.44M","13.44%"
"2018年8月27日","11.53","11.45","11.77","10.96","9.49M","5.68%"
"2018年8月24日","10.91","10.58","10.99","10.41","3.99M","3.61%"
"2018年8月23日","10.53","11.21","11.35","10.43","4.61M","-4.36%"
"2018年8月22日","11.01","11.75","11.82","10.96","4.49M","-7.09%"
"2018年8月21日","11.85","11.55","12.43","11.50","5.49M","4.87%"
"2018年8月20日","11.30","11.25","11.44","10.50","5.32M","5.61%"
"2018年8月17日","10.70","10.55","10.87","9.94","2.92M","1.33%"
"2018年8月16日","10.56","10.51","10.94","10.50","5.20M","2.82%"
"2018年8月15日","10.27","9.90","10.30","9.09","10.74M","-3.66%"
"2018年8月14日","10.66","10.57","10.69","10.26","5.84M","-1.39%"
"2018年8月13日","10.81","11.19","11.27","10.70","2.27M","-2.96%"
"2018年8月10日","11.14","11.25","11.37","11.02","2.69M","-0.98%"
"2018年8月9日","11.25","11.40","11.58","11.22","1.84M","-1.23%"
"2018年8月8日","11.39","11.49","11.68","11.24","1.81M","-0.09%"
"2018年8月7日","11.40","11.38","11.67","11.30","2.80M","1.15%"
"2018年8月6日","11.27","11.12","11.74","11.11","3.41M","1.90%"
"2018年8月3日","11.06","11.51","11.60","11.00","2.90M","-3.91%"
"2018年8月2日","11.51","11.00","11.52","10.70","6.49M","1.59%"
"2018年8月1日","11.33","11.66","11.73","11.16","3.79M","-3.25%"
"2018年7月31日","11.71","11.50","12.25","11.35","3.24M","1.04%"
"2018年7月30日","11.59","11.30","12.00","11.05","6.69M","-4.45%"
"2018年7月27日","12.13","13.10","13.10","12.00","6.57M","-5.01%"
"2018年7月26日","12.77","12.80","13.15","12.66","6.99M","-4.42%"
"2018年7月25日","13.36","13.77","13.95","13.13","9.28M","-4.02%"
"2018年7月24日","13.92","14.40","14.77","13.65","6.21M","-1.83%"
"2018年7月23日","14.18","14.41","14.70","13.64","4.92M","-1.60%"
"2018年7月20日","14.41","13.96","14.71","13.82","6.37M","3.52%"
"2018年7月19日","13.92","14.43","15.08","13.80","10.80M","-3.53%"
"2018年7月18日","14.43","13.95","14.99","13.90","10.27M","5.41%"
"2018年7月17日","13.69","13.42","14.15","13.10","6.86M","-0.80%"
"2018年7月16日","13.80","13.72","14.25","13.28","8.54M","0.00%"
"2018年7月13日","13.80","14.50","14.69","13.50","9.52M","-3.23%"
"2018年7月12日","14.26","13.20","14.40","12.95","11.80M","11.58%"
"2018年7月11日","12.78","12.96","13.53","12.76","7.44M","-3.62%"
"2018年7月10日","13.26","13.47","13.97","13.13","6.78M","-4.26%"
"2018年7月9日","13.85","13.66","14.08","13.29","9.26M","4.14%"
"2018年7月6日","13.30","12.51","13.37","12.50","6.02M","3.10%"
"2018年7月5日","12.90","14.00","14.10","12.88","6.62M","-6.52%"
"2018年7月3日","13.80","13.54","14.09","13.12","3.66M","3.29%"
"2018年7月2日","13.36","13.24","13.64","12.97","7.24M","-4.50%"
"2018年6月29日","13.99","14.90","14.90","13.82","6.03M","-3.52%"
"2018年6月28日","14.50","13.50","14.90","13.31","7.18M","4.32%"
"2018年6月27日","13.90","16.21","16.30","13.89","9.58M","-12.30%"
"2018年6月26日","15.85","15.95","16.53","15.51","7.16M","3.19%"
"2018年6月25日","15.36","15.67","16.19","14.80","8.81M","-7.75%"
"2018年6月22日","16.65","16.52","16.88","15.38","8.72M","1.28%"
"2018年6月21日","16.44","18.50","18.54","16.00","13.20M","-11.33%"
"2018年6月20日","18.54","20.04","20.29","18.50","8.23M","-3.34%"
"2018年6月19日","19.18","20.80","21.25","19.08","10.72M","-9.87%"
"2018年6月18日","21.28","19.35","21.66","18.95","10.16M","8.30%"
"2018年6月15日","19.65","20.57","21.35","18.82","14.06M","-4.15%"
"2018年6月14日","20.50","20.69","22.70","19.60","19.54M","2.14%"
"2018年6月13日","20.07","18.78","20.24","18.50","10.18M","7.56%"
"2018年6月12日","18.66","18.62","19.10","17.60","7.31M","1.30%"
"2018年6月11日","18.42","19.01","19.35","17.36","11.99M","-2.80%"
"2018年6月8日","18.95","16.10","19.35","15.85","10.54M","16.83%"
"2018年6月7日","16.22","16.56","16.79","16.05","1.98M","-2.11%"
"2018年6月6日","16.57","16.94","16.96","16.14","2.73M","-0.84%"
"2018年6月5日","16.71","16.48","16.74","15.60","4.19M","1.70%"
"2018年6月4日","16.43","17.40","18.16","16.25","5.66M","-2.84%"
"2018年6月1日","16.91","16.51","17.20","15.87","4.29M","4.19%"
"2018年5月31日","16.23","17.13","17.71","15.00","10.14M","-2.64%"
"2018年5月30日","16.67","15.20","16.88","15.19","6.64M","10.91%"
"2018年5月29日","15.03","14.30","15.19","14.22","4.15M","5.55%"
"2018年5月25日","14.24","13.86","14.44","13.85","3.62M","2.82%"
"2018年5月24日","13.85","14.35","15.49","13.45","16.60M","11.33%"
"2018年5月23日","12.44","13.07","13.38","12.30","6.22M","-5.33%"
"2018年5月22日","13.14","13.00","13.26","12.61","2.36M","3.06%"
"2018年5月21日","12.75","12.94","13.18","12.67","3.48M","-0.70%"
"2018年5月18日","12.84","13.50","13.50","12.80","2.47M","-5.24%"
"2018年5月17日","13.55","13.83","14.87","13.03","4.41M","-3.97%"
"2018年5月16日","14.11","12.24","14.35","12.16","3.11M","16.04%"
"2018年5月15日","12.16","12.07","12.42","11.52","1.53M","0.75%"
"2018年5月14日","12.07","11.55","12.20","11.50","1.95M","5.32%"
"2018年5月11日","11.46","11.06","12.19","11.06","3.15M","4.18%"
"2018年5月10日","11.00","10.73","11.68","10.51","1.65M","3.29%"
"2018年5月9日","10.65","10.41","10.73","10.28","1.04M","3.70%"
"2018年5月8日","10.27","10.05","10.49","9.95","734.15K","2.70%"
"2018年5月7日","10.00","10.01","10.14","9.86","877.76K","0.10%"
"2018年5月4日","9.99","10.18","10.28","9.86","954.54K","-0.89%"
"2018年5月3日","10.08","10.19","10.46","10.00","844.18K","-1.75%"
"2018年5月2日","10.26","10.52","10.64","10.21","558.73K","-3.02%"
"2018年5月1日","10.58","10.84","11.04","10.41","581.01K","-3.11%"
"2018年4月30日","10.92","10.70","11.08","10.10","1.09M","2.92%"
"2018年4月27日","10.61","11.00","11.10","10.61","495.07K","-3.55%"
"2018年4月26日","11.00","11.06","11.19","10.85","343.44K","0.92%"
"2018年4月25日","10.90","11.19","11.29","10.82","1.53M","-3.45%"
"2018年4月24日","11.29","11.25","11.52","11.21","1.22M","0.89%"
"2018年4月23日","11.19","11.29","11.46","11.05","867.78K","0.00%"
"2018年4月20日","11.19","11.25","11.31","11.06","625.65K","-1.41%"
"2018年4月19日","11.35","11.40","11.49","11.28","433.05K","0.00%"
"2018年4月18日","11.35","11.44","11.50","11.29","582.36K","0.27%"
"2018年4月17日","11.32","11.35","11.40","11.16","635.05K","-0.09%"
"2018年4月16日","11.33","11.41","11.50","11.33","562.04K","-0.61%"
"2018年4月13日","11.40","11.60","11.69","11.32","803.95K","-1.89%"
"2018年4月12日","11.62","11.53","11.76","11.35","2.08M","1.22%"
"2018年4月11日","11.48","11.58","11.59","11.03","1.50M","-0.17%"
"2018年4月10日","11.50","11.45","11.59","11.25","2.20M","3.60%"
"2018年4月9日","11.10","11.00","11.69","10.96","2.65M","1.46%"
"2018年4月6日","10.94","10.95","11.03","10.85","684.72K","-0.36%"
"2018年4月5日","10.98","11.00","11.05","10.75","893.30K","0.09%"
"2018年4月4日","10.97","10.75","11.08","10.55","1.50M","0.55%"
"2018年4月3日","10.91","11.50","11.50","10.79","2.51M","-0.82%"
"2018年4月2日","11.00","11.05","11.50","10.91","2.77M","0.00%"
"2018年3月29日","11.00","11.50","11.80","10.65","5.86M","-2.14%"
